clean_text,category
"warty pig
wakwak",N
Heres a fact about Philippines fire ants are invasive,N
I live in Philippines i am a filipino nami san amo ni,P
i am shock there are 10 rare animals i never heard about that in our school on Philippines,P
im a filipinoand some of the people say that the tamaraw are almost extinct,N
Thx for addding my country,P
I saw a philippine crocodile when i was 6,P
GOOD THING I LIVE IN  THAT COUNTRY LOOK ANO,P
Wowamazing animals,P
as a filipino i say that you pronounced some names wrong,N
Where the hell is the Carabao,N
"FUN 	fact the phillipine eagle was our national animal

Fun fact but in filipino yung national mga hayop natin ay phillipine eagle",P
822  they fr abusing whale sharks,N
Tagaalogin ko na lang hahahaha may hayop na tawag sa amin sa may paanan ng volcan Mayon na DOGMOON pinaghalohalo na aso pusa daga kulay sya itim Ang bontot nya may parang naka paikot na puti na may mga ispasyo kahit ipagtanong nyo alam ko Kasi nakahuli Nyan yong Taga doon sa amin peru Patay Kasi naka gapos sa pain ng bayawak,P
I give information to you in the province of Albay in the foot of Mayon have a special animals rear animals just call dogmon it is a wild animals mix breed in dog cat and rat the head Ang body is color black in the tail is stripe that is true the animals is canot descover plis descover that  animals DOGMOON I think is only in the Mayon volcano to Si her I say that information because that bicolano dont know to animals indengerd,N
Wow my favourite Philippine Eagle,P
I am in the Philippines maybe I can find it,N
Thanks for giving this education information I myself did not know some of those wild animals exist in the Phil Like the different figure of the monkey etc,P
Filipino very good,P
"All beautiful  
take care of them",P
As a Filipino I agree those are very rare,N
My favorite animal is Chismosa they can be found almost everywhere in my country and they can hear from can hear and see 567 meters away,P
no the most rare in  the pilipines is pilipines egoll,N
You keep mispronouncing Philippines animals names,N
Two of my fave animals from the Philippines have to be the Carabao and the Philippine Eagle,P
The Philippine eagle is one of my favorite animal theyre so pretty,P
I think its because weFilipinos are Blessed by God because we are Christians and disciples of God,N
I have seen a flying lemur before it was resting in my backyard sleeping underneat a bench it was cool and we waited for it to wake up we thought it was a bat but it was just a flying lemur,N
tamabaw is wrong  its call karabaw,N
No the most rare is Philippines monkey eating eagle,N
Thank you making a video of my home,P
Thanks for featuring the Philippines,P
I love to find out we have such wonderful animalssaludos,P
Tarsier is so cute OO,P
Some tip The Philippine mouse deer is also known as Pilandok,N
The tamaraw is hard R not soft r like raw fish,N
and yes i liked my own comment,P
thanks for respecting my countury,P
Thank you for respecting our country,P
I live at phillipines im not lying its true,N
Wild life is the most adorable to watchthanks for sharing,P
The most common animal in philippines are the political crocodile They are usually living in congress and they are like parasite in nature,N
How about the Philippine crocodiles They can be seen regularly in 2 well known places namely the Senate and Congress They continuously victimize the Filipino people,N
Fun factManny people here are filipino,P
Im so lucky im from philippines,P
Good thing im in Philippines,P
I am a piliphines you now   now you now how buitiful piliphnes,P
Philippines me good philippines,P
I leave in Philippines   and I love Philippines,P
I live in the cebu in Philippines and thats why i love living in Philippines,P
im from Philippines so i love the aso meaning dog pusa cat hehe im still practicing tagalog,P
218 did yall forgot about the  crocodile named lolong That crocodile was 617 meters20feet long and it was on the philippines,N
The only pest in this world is humans,N
Thank you for sharing this beautiful and amazing vedio  Philippines are having a lots of beautiful beaches,P
As a kid born and raised in the Philippines I have always been very disappointed in my country because they didnt have any cool traditions cool heroes cool weapons and a cool history but this video is made up of facts about my country that makes me like it now,P
PHILIPPINES IS THE BEST IM NOT LYING IWAS BORN IN PHILIPPINES,P
Yey my country has good animals,P
I saw a tastier in Bohol it was so cute,P
Philippine eagle is my favourite,P
PHILIPPINES is cool,P
You should include the tarsier Its almost extinct and it is really interesting,P
Tell me about itI was born there I am fing proud of me,P
Fun fact filipinos qre watching this video right now,P
I remember the day id seen a peacock and they are god damn gorgeous as h3,P
As a Filipino hat moved to Japan im happy that my country is being noticed,P
Im happy they noticed our country Ive been waiting to see the video,P
I live in the Filipino but I speak English and I saw that Philippine Eagle once I love animals to and my most favourite animal is chicken and fat chickensfluffy chickens and big chickens I hope you hit 20m subscribers se you do the USA I love to see the city ther bye bye,P
Thank you for shouting out my country the Philippines,P
Awwwww thank you Im in the Philippines I love your videos,P
Tasty snacks,P
i love your chanel,P
Wow this is beautiful I love the color,P
Rarebuwaya at mga aso na nasa gobyerno hahaha,P
yes very informative and exciting thank for this beautiful video,P
the guy walking on top of the whale shark deserves a decent corporal punishment from its parents so he wont do it again,N
Love your videos,P
I blame chinese to anything related sea,N
The fruit bowl you shown those are not native fruits in the Philippines  It is very sad how even our agriculturists and even museum curators  know very little about truly native edible Philippine fruits and vegetables  Since our foremost botanist of our time had been unjustly killed 10 years ago by the military when he was mistaken as a communist rebel or i bet he was murdered for caring so much for the forest and as a native conservationist Even the iVeg database of indigenous vegetables scientists and professors doesnt even seem to have basic botanical biogeographic  and taxonomic foundations many wrong entry endorsing even alien invasives as if native or perhaps they been paid to do that  And today Bahay Kubo nursery rhyme still sung as if its all native when none of it is native  Filipino cuisine is left behind other Asian cuisines because Filipinos have yet to rediscover our truly native foods after centuries of colonization,N
Lol Filipinos will eat anything just like any other Asian,P
Thanks for highlighting PH wildlife However some of the information you said was wrong Whale shark is not a whale nor a shark Its a fish Please check your sources,N
Great useful and highly informative video So amazing and fascinating to see these wildlife as well,P
moos deer hahaha mickey moos,P
wow this rare animals are so cool i never seen i belongalso im in phililpines and i cant find does too,P
